0,1,2,3,4,5,6,7,8,9,10,11
TrackerBoosting,Basketball,0.017567584704538237,0.3258710391929832,0.017551085629313564,0.3258710391929832,0.0175255227266878,0.3258710391929832,0.017969337872785845,0.3258710391929832,0.01808571838765153,0.3258710391929832
TrackerBoosting,Biker,0.007264719776206026,0.2540012054562098,0.007635196907915766,0.2540012054562098,0.007664094097754599,0.2540012054562098,0.007656241618741284,0.2540012054562098,0.008869239525596836,0.2540012054562098
TrackerBoosting,Bird1,0.011363978849446064,0.1911886461549391,0.011587604678956417,0.1911886461549391,0.011503264654678746,0.1911886461549391,0.011567920715043848,0.1911886461549391,0.012336146742717144,0.1911886461549391
TrackerBoosting,Bird2,0.026502030961878288,0.6187124585769942,0.02674501968611688,0.6187124585769942,0.026829186086742375,0.6187124585769942,0.027315920926897348,0.6187124585769942,0.026559149589941735,0.6187124585769942
TrackerBoosting,BlurBody,0.03195226796775825,0.5350601405884009,0.03309548954941735,0.5350601405884009,0.03203459690606111,0.5350601405884009,0.03338716847425726,0.5350601405884009,0.032532044585140564,0.5350601405884009
TrackerBoosting,BlurCar1,0.05240725096887311,0.7776930941409864,0.05350080387046954,0.7776930941409864,0.05254648357402446,0.7776930941409864,0.05161968725848802,0.7776930941409864,0.05293408594477275,0.7776930941409864
TrackerBoosting,BlurCar2,0.054891453190442155,0.11659097671880116,0.05327150462368125,0.11659097671880116,0.05438313112013866,0.11659097671880116,0.05355361433508468,0.11659097671880116,0.05508366069904988,0.11659097671880116
TrackerBoosting,BlurCar3,0.027501860887783593,0.21976223652249127,0.02779723339802751,0.21976223652249127,0.028492282446010504,0.21976223652249127,0.028073598971141082,0.21976223652249127,0.028801070898680864,0.21976223652249127
TrackerBoosting,BlurCar4,0.06006349337180902,0.8033925728475678,0.059900697917025195,0.8033925728475678,0.060116569272048406,0.8033925728475678,0.06129790662753763,0.8033925728475678,0.06055503907663845,0.8033925728475678
TrackerBoosting,BlurFace,0.0518330405898831,0.31898453984687025,0.05139420475239834,0.31898453984687025,0.05114506100798453,0.31898453984687025,0.05271375449744973,0.31898453984687025,0.052790871691699354,0.31898453984687025
TrackerBoosting,BlurOwl,0.03043328573932151,0.09492102152033664,0.03169267566752106,0.09492102152033664,0.030301118187632998,0.09492102152033664,0.03184996222085456,0.09492102152033664,0.030489686951893198,0.09492102152033664
TrackerBoosting,Board,0.04109959639708047,0.5046645915586722,0.0414932833848911,0.5046645915586722,0.04129311568509464,0.5046645915586722,0.04064357137051225,0.5046645915586722,0.04129273780986416,0.5046645915586722
